[2026-01-20 20:29:37,021: INFO: main: Welcome to custom log]
[2026-01-20 20:32:08,872: INFO: main: Welcome to custom log]
[2026-01-21 00:49:05,827: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-21 00:49:05,852: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-21 00:58:35,520: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-21 00:58:35,546: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-21 00:58:35,552: INFO: common: created directory at: artifacts]
[2026-01-21 00:58:35,555: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-21 00:58:35,558: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1lmmwEVh6II154YNf3fGbEZhlp82pV6dc/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-21 01:02:59,346: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1lmmwEVh6II154YNf3fGbEZhlp82pV6dc/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-21 01:21:39,121: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-21 01:21:39,123: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-21 01:21:39,125: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-21 01:21:39,126: INFO: common: created directory at: artifacts]
[2026-01-21 01:21:39,126: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-21 01:21:39,127: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1lmmwEVh6II154YNf3fGbEZhlp82pV6dc/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-21 01:25:04,710: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1lmmwEVh6II154YNf3fGbEZhlp82pV6dc/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-21 01:25:30,226: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
